"FEATURE_ID","FEATURE_NAME","FEATURE_CLASS","STATE_ALPHA","STATE_NUMERIC","COUNTY_NAME","COUNTY_NUMERIC","PRIMARY_LAT_DMS","PRIM_LONG_DMS","PRIM_LAT_DEC","PRIM_LONG_DEC","SOURCE_LAT_DMS","SOURCE_LONG_DMS","SOURCE_LAT_DEC","SOURCE_LONG_DEC","ELEV_IN_M","ELEV_IN_FT","MAP_NAME","DATE_CREATED","DATE_EDITED","Town","Address"
980026,"Academy Heights School","School","NC",37,"Moore",125,"351239N","0792903W",35.210712,-79.4841984,NA,NA,NA,NA,137,449,"Southern Pines","6/17/1980","","West End","143 Douglas Ave, West End, NC 27376, USA"
980028,"Acme Delco Middle School","School","NC",37,"Columbus",47,"341858N","0781257W",34.3160194,-78.2159139,NA,NA,NA,NA,18,59,"Acme","6/17/1980","4/28/2015","Delco","26133 Andrew Jackson Hwy, Delco, NC 28436, USA"
980031,"Acorn Ridge Church","Church","NC",37,"Moore",125,"352746N","0793639W",35.4626432,-79.6108627,NA,NA,NA,NA,163,535,"Robbins","6/17/1980","","Robbins","299 Acorn Ridge Rd, Robbins, NC 27325, USA"
980042,"Adams Creek School","School","NC",37,"Craven",49,"345517N","0764100W",34.9212723,-76.6832645,NA,NA,NA,NA,2,7,"Merrimon","6/17/1980","","Havelock","101 Belangia Rd, Havelock, NC 28532, USA"
980047,"Adams Elementary School","School","NC",37,"Wake",183,"354637N","0784544W",35.7769127,-78.762189,NA,NA,NA,NA,137,449,"Cary","6/17/1980","8/4/2015","Cary","805 Cary Towne Blvd, Cary, NC 27511, USA"
980048,"Adams School","School","NC",37,"Person",145,"362335N","0785644W",36.3929189,-78.9455649,NA,NA,NA,NA,222,728,"Roxboro","6/17/1980","","Roxboro","2075 Mountain Rd, Roxboro, NC 27574, USA"
980052,"Adcock Crossroads","Populated Place","NC",37,"Vance",181,"361947N","0782118W",36.3295908,-78.3549963,NA,NA,NA,NA,154,505,"Vicksboro","6/17/1980","","Henderson","100-132 Carey Chapel Rd, Henderson, NC 27537, USA"
980061,"Afton","Populated Place","NC",37,"Warren",185,"362020N","0781258W",36.3387584,-78.2161046,NA,NA,NA,NA,132,433,"Afton","6/17/1980","","Norlina","US-401, Norlina, NC 27563, USA"
980070,"Airy Grove School","School","NC",37,"Lenoir",107,"352139N","0773301W",35.3607185,-77.5502461,NA,NA,NA,NA,22,72,"Kinston","6/17/1980","","Kinston","1752 Hugo Rd, Kinston, NC 28501, USA"
980071,"Akers School","School","NC",37,"Halifax",83,"362751N","0773904W",36.4640396,-77.6510908,NA,NA,NA,NA,49,161,"Roanoke Rapids","6/17/1980","","Roanoke Rapids","174 E 5th St, Weldon, NC 27890, USA"
980076,"Albertson","Populated Place","NC",37,"Duplin",61,"350652N","0774908W",35.1143307,-77.8188683,NA,NA,NA,NA,44,144,"Albertson","6/17/1980","","Albertson","NC-111, Albertson, NC 28508, USA"
980077,"Albertson Tabernacle","Church","NC",37,"Duplin",61,"350738N","0774735W",35.1271082,-77.7930338,NA,NA,NA,NA,45,148,"Seven Springs","6/17/1980","","Albertson","Unnamed Road, Albertson, NC 28508, USA"
980080,"Albrittons","Populated Place","NC",37,"Lenoir",107,"351153N","0773954W",35.1979411,-77.6649724,NA,NA,NA,NA,25,82,"Deep Run","6/17/1980","","Kinston","1021 NC-11 S, Kinston, NC 28504, USA"
980086,"Aleo Church","Church","NC",37,"Richmond",153,"345519N","0794616W",34.9218204,-79.7711684,NA,NA,NA,NA,84,276,"Rockingham","6/17/1980","","Rockingham","108-150 N School St, Rockingham, NC 28379, USA"
980087,"Alert","Populated Place","NC",37,"Franklin",69,"361352N","0781321W",36.2309822,-78.222493,NA,NA,NA,NA,121,397,"Gold Sand","6/17/1980","","Warrenton","1-41 Mount Grove Church Ln, Warrenton, NC 27589, USA"
980102,"Allen Chapel","Church","NC",37,"Sampson",163,"344603N","0781424W",34.7673926,-78.2399956,NA,NA,NA,NA,32,105,"Delway","6/17/1980","","Garland","2294 Herring Rd, Rose Hill, NC 28458, USA"
