"name","address","city","state","zip_code","program_code","lat","lng","fips_county"
"Care and Share, Inc.","110 Industrial Drive","Louisburg","NC","27549","FOODPANTRY",36.104097,-78.291694,37069
"Lutheran Family Services","3257 Lake Woodard Drive","Raleigh","NC","27604","GROUP HOME",35.802503,-78.587983,37183
"Catholic Parish Outreach","2013 North Raleigh Blvd.","Raleigh","NC","27604","FOODPANTRY",35.803502,-78.608134,37183
"Christian Fellowship Homes","301 South Grace St","Rocky Mount","NC","27804","GROUP HOME",35.941437,-77.802493,37127
"Clayton Area Ministries","704 E. Main Street","Clayton","NC","27520","FOODPANTRY",35.645244,-78.452026,37101
"Durham Crisis Response Center","Confidential","","NC","","SHELTER",NA,NA,NA
"Davie St Presbyterian","300 East Davie Street","Raleigh","NC","27601","FOODPANTRY",35.775445,-78.635069,37183
"Durham Exchange Club","1717 Lawson Street","Durham","NC","27703","SHELTER WK",35.974353,-78.883365,37063
"Area Congregations in Ministry","634 Roxboro Rd","Oxford","NC","27565","FOODPANTRY",36.324056,-78.607626,37077
"Free Will Baptist Chrildren's","7907 Buck Deans Rd.","Middlesex","NC","27557","GROUP HOME",35.815826,-78.209655,37127
"Jacob House/Rachel House","809 E Mulberry Street","Goldsboro","NC","27530","GROUP HOME",35.381262,-77.9849,37191
"Inter-Faith Council","110 W. Main Street","Carrboro","NC","27510","FOODPANTRY",35.910341,-79.072512,37135
"Longview United Methodist","2312 Milburnie Road","Raleigh","NC","27610","FOODPANTRY",35.78931,-78.605619,37183
"Masonic Home for Children","600 College Street","Oxford","NC","27565","GROUP HOME",36.318598,-78.5941,37077
"Person County Group Homes","202 North Main Street","Roxboro","NC","27573","GROUP HOME",36.39413,-78.982899,37145
"Raleigh Rescue Mission","314 E. Hargett Street","Raleigh","NC","27601","SHELTER",35.778019,-78.634731,37183
"St. James Methodist Church/","1011 Orange Street","Newport","NC","28570","SENIOR ON",34.785574,-76.856641,37031
"Salvation Army-Greenville","2337 Dickinson Avenue","Greenville","NC","27834","FOODPANTRY",35.596921,-77.39951,37147
"Salvation Army-Durham","909 Liberty Street","Durham","NC","27701","FOODPANTRY",35.992806,-78.885819,37063
"Salvation Army-Henderson","355 Alexander Ave.","Henderson","NC","27536","FOODPANTRY",36.31527,-78.404645,37181
"Shepherd's Table Soup Kitchen","121 Hillsborough Street","Raleigh","NC","27603","SOUP KITCH",35.780351,-78.640411,37183
"Community Soup Kitchen of","307 N Railroad Street","Wilson","NC","27894","SOUP KITCH",35.646571,-78.006999,37195
"TLC Operations, Inc.","739 Chappell Drive","Raleigh","NC","27606","GROUP HOME",35.770257,-78.68302,37183
"Upper Room Church of God","3300 Idlewood Village Drive","Raleigh","NC","27610","FOODPANTRY",35.736534,-78.616459,37183
"Urban Ministries of Wake","1390 Capital Blvd","Raleigh","NC","27603","FOODPANTRY",35.801725,-78.629802,37183
"Page United Methodist Church","110 Knight Street","Aberdeen","NC","28315","FOODPANTRY",35.133302,-79.426828,37125
"Loaves and Fishes Ministry","1950 New Bern Ave.","Raleigh","NC","27610","AFTER SCH",35.779617,-78.60902,37183
"Philippi Church of Christ","3760 Philippi Drive","Greenville","NC","27834","FOODPANTRY",35.583162,-77.264724,37147
"Salvation Army-Smithfield","306 N. Brightleaf Boulevard","Smithfield","NC","27577","FOODPANTRY",35.513398,-78.332839,37101
"Bethesda, Inc.","204 N. Pine Street","Aberdeen","NC","28315","GROUP HOME",35.131834,-79.424686,37125
"Shiloh Baptist Church","635 College Street","Henderson","NC","27536","FOODPANTRY",36.321664,-78.403296,37181
"St. Anthony's We Care","175 E Connecticut Ave","Southern Pines","NC","28387","FOODPANTRY",35.174523,-79.388614,37125
"Community Mentor Program","297  Mizpah Road","Rockingham","NC","28345","FOODPANTRY",34.818888,-79.627073,37165
