name,address,city,state,zip_code,program_code,lat,lng,fips_county,GoogleLat,GoogleLon,GoogleCounty,GoogleZip,GoogleZip+4,zipmatch,CountyMatch,fips_county_name
"Care and Share, Inc.",110 Industrial Drive,Louisburg,NC,27549,FOODPANTRY,36.104097,-78.291694,37069,36.1039993,-78.2912646,Franklin,27549,2308,TRUE,TRUE,
Lutheran Family Services,3257 Lake Woodard Drive,Raleigh,NC,27604,GROUP HOME,35.802503,-78.587983,37183,35.80271,-78.586624,Wake,27604,3660,TRUE,TRUE,
Catholic Parish Outreach,2013 North Raleigh Blvd.,Raleigh,NC,27604,FOODPANTRY,35.803502,-78.608134,37183,35.796248,-78.6108762,Wake,27610,,FALSE,TRUE,
Christian Fellowship Homes,301 South Grace St,Rocky Mount,NC,27804,GROUP HOME,35.941437,-77.802493,37127,35.941183,-77.802256,Nash,27804,5814,TRUE,TRUE,
Clayton Area Ministries,704 E. Main Street,Clayton,NC,27520,FOODPANTRY,35.645244,-78.452026,37101,35.6451793,-78.4519359,Johnston,27520,2626,TRUE,TRUE,
Durham Crisis Response Center,Confidential,Durham,NC,NA,SHELTER,NA,NA,NA,,,,,,FALSE,,
Davie St Presbyterian,300 East Davie Street,Raleigh,NC,27601,FOODPANTRY,35.775445,-78.635069,37183,35.7752119,-78.6347673,Wake,27601,1810,TRUE,TRUE,
Durham Exchange Club,1717 Lawson Street,Durham,NC,27703,SHELTER WK,35.974353,-78.883365,37063,35.975221,-78.8777768,Durham,27703,5025,TRUE,TRUE,
Area Congregations in Ministry,634 Roxboro Rd,Oxford,NC,27565,FOODPANTRY,36.324056,-78.607626,37077,36.324437,-78.60985,Granville,27565,2635,TRUE,TRUE,
Free Will Baptist Chrildren's,7907 Buck Deans Rd.,Middlesex,NC,27557,GROUP HOME,35.815826,-78.209655,37127,35.824823,-78.207675,Nash,27557,9380,TRUE,TRUE,
Jacob House/Rachel House,809 E Mulberry Street,Goldsboro,NC,27530,GROUP HOME,35.381262,-77.9849,37191,35.381347,-77.984002,Wayne,27530,5005,TRUE,TRUE,
Inter-Faith Council,110 W. Main Street,Carrboro,NC,27510,FOODPANTRY,35.910341,-79.072512,37135,35.910428,-79.0736079,Orange,27510,,TRUE,TRUE,
Longview United Methodist,2312 Milburnie Road,Raleigh,NC,27610,FOODPANTRY,35.78931,-78.605619,37183,35.7893696,-78.6052875,Wake,27610,,TRUE,TRUE,
Masonic Home for Children,600 College Street,Oxford,NC,27565,GROUP HOME,36.318598,-78.5941,37077,36.318636,-78.5941325,Granville,27565,2717,TRUE,TRUE,
Person County Group Homes,202 North Main Street,Roxboro,NC,27573,GROUP HOME,36.39413,-78.982899,37145,36.3941821,-78.982811,Person,27573,5325,TRUE,TRUE,
Raleigh Rescue Mission,314 E. Hargett Street,Raleigh,NC,27601,SHELTER,35.778019,-78.634731,37183,35.777773,-78.634281,Wake,27601,1436,TRUE,TRUE,
St. James Methodist Church,1011 Orange Street,Newport,NC,28570,SENIOR ON,34.785574,-76.856641,37031,34.7858366,-76.8567466,Carteret,28570,9677,TRUE,TRUE,
Salvation Army-Greenville,2337 Dickinson Avenue,Greenville,NC,27834,FOODPANTRY,35.596921,-77.39951,37147,35.5967558,-77.399063,Pitt,27834,5005,TRUE,TRUE,
Salvation Army-Durham,909 Liberty Street,Durham,NC,27701,FOODPANTRY,35.992806,-78.885819,37063,35.993138,-78.885392,Durham,27701,3841,TRUE,TRUE,
Salvation Army-Henderson,355 Alexander Ave.,Henderson,NC,27536,FOODPANTRY,36.31527,-78.404645,37181,36.3152233,-78.4038764,Vance,27536,5301,TRUE,TRUE,
Shepherd's Table Soup Kitchen,121 Hillsborough Street,Raleigh,NC,27603,SOUP KITCH,35.780351,-78.640411,37183,35.780343,-78.641038,Wake,27603,,TRUE,TRUE,
Community Soup Kitchen of,307 N Railroad Street,Wilson,NC,27894,SOUP KITCH,35.646571,-78.006999,37195,35.7240993,-77.9071972,Wilson,27893,,FALSE,TRUE,
"TLC Operations, Inc.",739 Chappell Drive,Raleigh,NC,27606,GROUP HOME,35.770257,-78.68302,37183,35.7690722,-78.6836698,Wake,27606,3215,TRUE,TRUE,
Upper Room Church of God,3300 Idlewood Village Drive,Raleigh,NC,27610,FOODPANTRY,35.736534,-78.616459,37183,35.7375167,-78.6177903,Wake,27610,5969,TRUE,TRUE,
